Day,Time,Lift,Vert Feet
2015-02-11,13:02:24,Eagle Express I,1500
2015-02-11,13:13:09,Eagle Express I,1500
2015-02-11,13:23:34,Eagle Express I,1500
2015-02-11,13:34:18,Eagle Express I,1500
2015-02-11,13:45:30,Eagle Express I,1500
2015-02-11,13:59:56,Eagle Express I,1500
2015-02-11,14:10:41,Eagle Express I,1500
2015-02-11,14:21:05,Eagle Express I,1500
2015-02-11,14:31:50,Eagle Express I,1500
2015-02-11,14:42:46,Eagle Express I,1500
2015-02-20,12:17:35,Moonbeam,675
2015-02-20,12:25:10,Eagle Express I,1500
2015-02-20,12:36:56,Eagle Express I,1500
2015-02-20,12:53:44,Eagle Express I,1500
2015-02-20,13:05:50,Eagle Express I,1500
2015-02-20,13:17:21,Eagle Express I,1500
2015-02-20,13:41:28,Moonbeam,675
2015-02-20,13:49:07,Eagle Express I,1500
2015-02-20,14:00:02,Eagle Express I,1500
2015-02-20,14:12:38,Eagle Express I,1500
2015-02-20,14:33:51,Eagle Express I,1500
2015-02-20,14:45:39,Eagle Express I,1500
2015-02-26,13:18:22,Moonbeam,675
2015-02-26,13:25:49,Eagle Express I,1500
2015-02-26,13:36:35,Eagle Express I,1500
2015-02-26,13:51:01,Eagle Express I,1500
2015-02-26,14:01:51,Eagle Express I,1500
2015-02-26,14:12:47,Eagle Express I,1500
2015-02-26,14:24:01,Eagle Express I,1500
2015-02-26,14:35:40,Eagle Express I,1500
2015-02-26,14:58:30,Eagle Express I,1500
2015-02-26,15:09:32,Eagle Express I,1500
2015-02-26,15:21:04,Eagle Express I,1500
2015-03-01,11:21:58,Moonbeam,675
2015-03-01,11:31:41,Eagle Express I,1500
2015-03-01,11:45:46,Eagle Express I,1500
2015-03-04,09:27:29,Moonbeam,675
2015-03-04,09:34:42,Eagle Express I,1500
2015-03-04,09:45:05,Eagle Express I,1500
2015-03-04,09:58:19,Eagle Express I,1500
2015-03-04,10:10:00,Eagle Express I,1500
2015-03-04,10:20:05,Eagle Express I,1500
2015-03-04,10:30:30,Eagle Express I,1500
2015-03-04,10:41:17,Eagle Express I,1500
2015-03-04,10:55:08,Eagle Express I,1500
2015-03-04,11:05:41,Eagle Express I,1500
2015-03-04,11:40:15,Eagle Express I,1500
2015-03-04,11:50:35,Eagle Express I,1500
2015-03-04,12:01:53,Eagle Express I,1500
2015-03-04,12:18:13,Eagle Express I,1500
2015-03-04,12:29:08,Eagle Express I,1500
2015-03-04,12:40:07,Eagle Express I,1500
2015-03-04,12:56:20,Eagle Express I,1500
2015-03-04,13:07:25,Eagle Express I,1500
2015-03-04,13:18:29,Eagle Express I,1500
2015-03-04,13:29:18,Eagle Express I,1500
2015-03-04,13:40:41,Eagle Express I,1500
2015-03-04,13:52:10,Eagle Express I,1500
2015-03-06,12:19:20,Moonbeam,675
2015-03-06,12:26:20,Eagle Express I,1500
2015-03-06,12:36:51,Eagle Express I,1500
2015-03-06,12:47:24,Eagle Express I,1500
2015-03-06,13:38:17,Eagle Express I,1500
2015-03-06,13:48:39,Eagle Express I,1500
2015-03-06,13:59:06,Eagle Express I,1500
2015-03-06,14:13:42,Eagle Express I,1500
2015-03-06,14:24:43,Eagle Express I,1500
2015-03-06,14:35:39,Eagle Express I,1500
2015-03-06,14:46:24,Eagle Express I,1500
2015-03-06,14:57:07,Eagle Express I,1500
2015-03-06,15:07:28,Eagle Express I,1500
2015-03-06,15:17:59,Eagle Express I,1500
2015-03-08,13:22:36,Moonbeam,675
2015-03-08,13:30:17,Eagle Express I,1500
2015-03-08,13:41:20,Eagle Express I,1500
2015-03-08,13:59:35,Eagle Express I,1500
2015-03-08,14:10:40,Eagle Express I,1500
2015-03-08,14:25:33,Eagle Express I,1500
2015-03-08,14:35:40,Eagle Express I,1500
2015-03-08,14:50:19,Eagle Express I,1500
2015-03-08,15:01:22,Eagle Express I,1500
2015-03-08,15:12:19,Eagle Express I,1500
2015-03-08,15:33:01,Eagle Express I,1500
2015-03-08,15:43:53,Eagle Express I,1500
2015-03-08,15:56:07,Eagle Express I,1500
2015-03-20,12:57:28,Moonbeam,675
2015-03-20,13:05:02,Eagle Express I,1500
2015-03-20,13:15:57,Eagle Express I,1500
2015-03-20,13:28:09,Eagle Express I,1500
2015-03-20,13:43:36,Eagle Express I,1500
2015-03-20,13:55:02,Eagle Express I,1500
2015-03-20,14:06:31,Eagle Express I,1500
2015-03-27,13:27:37,Moonbeam,675
2015-03-27,13:34:50,Eagle Express I,1500
Total,318280
