Day,Time,Lift,Vert Feet
2014-01-17,13:17:26,Eagle Express I,1500
2014-01-17,13:27:12,Eagle Express I,1500
2014-01-17,13:37:36,Eagle Express I,1500
2014-01-17,13:48:08,Eagle Express I,1500
2014-01-17,14:05:13,Eagle Express I,1500
2014-01-17,14:14:21,Eagle Express I,1500
2014-01-17,14:23:45,Eagle Express I,1500
2014-01-17,14:34:06,Eagle Express I,1500
2014-01-17,14:44:50,Eagle Express I,1500
2014-01-17,14:58:58,Eagle Express I,1500
2014-01-17,15:10:45,Eagle Express I,1500
2014-01-17,15:20:21,Eagle Express I,1500
2014-01-17,15:31:12,Eagle Express I,1500
2014-01-17,15:41:03,Eagle Express I,1500
2014-01-17,15:51:22,Eagle Express I,1500
2014-01-19,11:26:20,Moonbeam,675
2014-01-19,11:33:03,Eagle Express I,1500
2014-01-19,11:45:51,Eagle Express I,1500
2014-01-19,11:56:22,Eagle Express I,1500
2014-01-19,12:37:48,Eagle Express I,1500
2014-01-19,12:48:47,Sunrise,810
2014-01-19,13:03:20,Summit,1235
2014-01-19,13:21:00,Apex,880
2014-01-20,09:15:01,Moonbeam,675
2014-01-20,09:19:54,Eagle Express I,1500
2014-01-20,09:33:36,Eagle Express I,1500
2014-01-20,09:46:15,Eagle Express I,1500
2014-01-20,09:54:48,Eagle Express I,1500
2014-01-20,10:03:39,Eagle Express I,1500
2014-01-20,10:16:31,Eagle Express I,1500
2014-01-20,10:29:58,Eagle Express I,1500
2014-01-20,10:40:16,Eagle Express I,1500
2014-01-20,10:50:53,Eagle Express I,1500
2014-01-20,11:01:36,Eagle Express I,1500
2014-01-20,11:11:23,Eagle Express I,1500
2014-01-20,11:24:56,Eagle Express I,1500
2014-01-20,11:35:42,Eagle Express I,1500
2014-02-02,13:03:18,Moonbeam,675
2014-02-02,13:09:47,Eagle Express I,1500
2014-02-02,13:21:21,Eagle Express I,1500
2014-02-02,13:33:12,Eagle Express I,1500
2014-02-02,13:50:50,Eagle Express I,1500
2014-02-02,14:01:09,Eagle Express I,1500
2014-02-02,14:08:05,Eagle Express I,1500
2014-02-02,14:21:54,Eagle Express I,1500
2014-02-02,14:37:22,Eagle Express I,1500
2014-02-02,14:48:19,Eagle Express I,1500
2014-02-02,14:58:49,Eagle Express I,1500
2014-02-02,15:08:06,Eagle Express I,1500
2014-02-02,15:20:19,Eagle Express I,1500
2014-02-02,15:29:23,Eagle Express I,1500
2014-02-07,12:39:55,Moonbeam,675
2014-02-07,12:47:57,Eagle Express I,1500
2014-02-07,13:00:37,Eagle Express I,1500
2014-02-07,13:15:21,Eagle Express I,1500
2014-02-07,13:31:01,Eagle Express I,1500
2014-02-07,13:42:55,Eagle Express I,1500
2014-02-07,13:53:54,Eagle Express I,1500
2014-02-07,14:05:11,Eagle Express I,1500
2014-02-07,14:16:14,Eagle Express I,1500
2014-02-14,13:41:11,Moonbeam,675
2014-02-14,13:48:56,Eagle Express I,1500
2014-02-14,13:59:15,Eagle Express I,1500
2014-02-14,14:11:38,Eagle Express I,1500
2014-02-14,14:24:36,Eagle Express I,1500
2014-02-14,14:35:39,Eagle Express I,1500
2014-02-14,14:45:24,Eagle Express I,1500
2014-02-14,14:58:36,Eagle Express I,1500
2014-02-14,15:08:49,Eagle Express I,1500
2014-02-14,15:19:55,Eagle Express I,1500
2014-02-16,11:00:41,Moonbeam,675
2014-02-16,11:10:04,Eagle Express I,1500
2014-02-16,11:20:46,Eagle Express I,1500
2014-02-16,11:31:58,Eagle Express I,1500
2014-02-16,11:45:47,Eagle Express I,1500
2014-02-16,11:55:54,Eagle Express I,1500
2014-02-16,12:06:27,Eagle Express I,1500
2014-02-16,12:22:30,Eagle Express I,1500
2014-02-17,13:03:27,Apex,880
2014-02-17,13:10:45,Eagle Express I,1500
2014-02-17,13:22:39,Eagle Express I,1500
2014-02-17,13:33:46,Eagle Express I,1500
2014-02-17,13:53:17,Eagle Express I,1500
2014-02-17,14:05:22,Eagle Express I,1500
2014-02-17,14:16:07,Eagle Express I,1500
2014-02-17,14:29:35,Eagle Express I,1500
2014-02-17,14:42:13,Eagle Express I,1500
2014-02-17,14:54:23,Eagle Express I,1500
2014-02-21,12:21:46,Moonbeam,675
2014-02-21,12:29:33,Eagle Express I,1500
2014-02-21,12:39:59,Eagle Express I,1500
2014-02-21,12:50:11,Eagle Express I,1500
2014-02-21,12:59:47,Eagle Express I,1500
2014-02-21,13:13:15,Eagle Express I,1500
2014-02-21,13:28:34,Eagle Express I,1500
2014-02-21,13:42:57,Eagle Express I,1500
2014-02-21,13:53:04,Eagle Express I,1500
2014-02-21,14:03:27,Eagle Express I,1500
2014-02-21,14:29:22,Eagle Express I,1500
2014-02-21,14:39:10,Eagle Express I,1500
2014-02-21,14:51:46,Eagle Express I,1500
2014-02-21,15:02:10,Eagle Express I,1500
2014-02-21,15:12:12,Eagle Express I,1500
2014-02-21,15:22:50,Eagle Express I,1500
2014-02-23,12:40:02,Apex,880
2014-02-23,12:49:28,Eagle Express I,1500
2014-02-23,12:59:17,Eagle Express I,1500
2014-02-23,13:08:53,Eagle Express I,1500
2014-02-23,13:19:06,Eagle Express I,1500
2014-02-23,13:28:55,Eagle Express I,1500
2014-02-23,13:39:03,Eagle Express I,1500
2014-02-23,13:48:38,Eagle Express I,1500
2014-02-23,13:58:31,Eagle Express I,1500
2014-02-23,14:08:21,Eagle Express I,1500
2014-02-23,14:23:42,Eagle Express I,1500
2014-02-23,14:36:14,Eagle Express I,1500
2014-02-23,14:45:54,Eagle Express I,1500
2014-02-23,15:02:17,Eagle Express I,1500
2014-02-23,15:12:28,Eagle Express I,1500
2014-02-23,15:23:41,Eagle Express I,1500
2014-02-23,15:33:42,Eagle Express I,1500
2014-02-23,15:44:15,Eagle Express I,1500
2014-02-28,12:36:42,Moonbeam,675
2014-02-28,12:45:50,Eagle Express I,1500
2014-02-28,12:58:09,Eagle Express I,1500
2014-02-28,13:11:20,Eagle Express I,1500
2014-02-28,13:28:05,Eagle Express I,1500
2014-02-28,13:49:23,Eagle Express I,1500
2014-02-28,14:02:29,Eagle Express I,1500
2014-02-28,14:16:36,Eagle Express I,1500
2014-02-28,14:32:00,Eagle Express I,1500
2014-03-02,09:59:16,Moonbeam,675
2014-03-02,10:07:54,Eagle Express I,1500
2014-03-02,10:18:09,Eagle Express I,1500
2014-03-02,10:31:59,Eagle Express I,1500
2014-03-02,10:43:18,Eagle Express I,1500
2014-03-02,11:31:19,Eagle Express I,1500
2014-03-02,11:42:12,Eagle Express I,1500
2014-03-02,11:52:49,Eagle Express I,1500
2014-03-02,12:03:59,Eagle Express I,1500
2014-03-02,12:18:28,Eagle Express I,1500
2014-03-02,12:29:24,Eagle Express I,1500
2014-03-02,12:45:57,Eagle Express I,1500
2014-03-02,13:03:07,Moonbeam,675
2014-03-02,13:10:20,Eagle Express I,1500
2014-03-02,13:20:44,Eagle Express I,1500
2014-03-02,13:31:15,Eagle Express I,1500
2014-03-02,13:42:33,Eagle Express I,1500
2014-03-07,12:37:19,Moonbeam,675
2014-03-07,12:44:18,Eagle Express I,1500
2014-03-07,12:55:22,Eagle Express I,1500
2014-03-07,13:07:03,Eagle Express I,1500
2014-03-07,13:22:59,Eagle Express I,1500
2014-03-07,13:36:25,Eagle Express I,1500
2014-03-07,13:47:50,Eagle Express I,1500
2014-03-07,14:00:19,Eagle Express I,1500
2014-03-07,14:12:07,Eagle Express I,1500
2014-03-07,14:23:38,Eagle Express I,1500
2014-03-07,14:37:01,Eagle Express I,1500
2014-03-07,14:48:27,Eagle Express I,1500
2014-03-07,15:00:49,Eagle Express I,1500
2014-03-09,13:05:04,Moonbeam,675
2014-03-09,13:12:23,Eagle Express I,1500
2014-03-09,13:23:09,Eagle Express I,1500
2014-03-09,13:44:36,Moonbeam,675
2014-03-09,13:51:33,Eagle Express I,1500
2014-03-09,14:01:51,Eagle Express I,1500
2014-03-09,14:12:55,Eagle Express I,1500
2014-03-09,14:22:57,Eagle Express I,1500
2014-03-09,14:32:43,Eagle Express I,1500
2014-03-09,14:42:41,Eagle Express I,1500
2014-03-09,14:56:32,Eagle Express I,1500
2014-03-09,15:07:14,Eagle Express I,1500
2014-03-09,15:17:06,Eagle Express I,1500
2014-03-09,15:26:45,Eagle Express I,1500
2014-03-09,15:36:27,Eagle Express I,1500
2014-03-09,15:47:13,Eagle Express I,1500
2014-03-14,12:45:01,Moonbeam,675
2014-03-14,12:53:28,Eagle Express I,1500
2014-03-14,13:08:17,Eagle Express I,1500
2014-03-14,13:18:08,Eagle Express I,1500
2014-03-14,13:27:41,Eagle Express I,1500
2014-03-14,13:37:34,Eagle Express I,1500
2014-03-14,13:47:20,Eagle Express I,1500
2014-03-14,14:01:38,Eagle Express I,1500
2014-03-14,14:11:26,Eagle Express I,1500
2014-03-14,14:21:08,Eagle Express I,1500
2014-03-14,14:31:39,Eagle Express I,1500
2014-03-14,14:43:19,Eagle Express I,1500
2014-03-14,14:59:35,Eagle Express I,1500
2014-03-14,15:09:23,Eagle Express I,1500
2014-03-14,15:19:17,Eagle Express I,1500
2014-03-14,15:29:45,Eagle Express I,1500
2014-03-14,15:39:50,Eagle Express I,1500
2014-03-14,15:49:21,Eagle Express I,1500
2014-03-14,15:58:54,Eagle Express I,1500
2014-03-19,12:59:40,Moonbeam,675
2014-03-19,13:07:11,Eagle Express I,1500
2014-03-19,13:17:10,Eagle Express I,1500
2014-03-19,13:32:18,Eagle Express I,1500
2014-03-19,13:41:59,Eagle Express I,1500
